"age";"name";"man";"woman"
"17 лет";Саратовская область;755;836
"17 лет";Сахалинская область;17;9
"17 лет";Свердловская область;592;799
"17 лет";Смоленская область;160;199
"17 лет";Ставропольский край;978;1139
"17 лет";Тамбовская область;120;150
"17 лет";Тверская область;115;191
"17 лет";Томская область;416;381
"17 лет";Тульская область;178;179
"17 лет";Тюменская область;237;372
"17 лет";Удмуртская Республика;246;398
"17 лет";Ульяновская область;182;179
"17 лет";Хабаровский край;299;263
"17 лет";Ханты-Мансийский автономный округ;56;101
"17 лет";Челябинская область;440;354
"17 лет";Чеченская Республика;740;1515
"17 лет";Чувашская Республика;123;201
"17 лет";Чукотский автономный округ;0;0
"17 лет";Ямало-Ненецкий автономный округ;0;0
"17 лет";Ярославская область;150;198
"18 лет";Алтайский край;2519;3359
"18 лет";Амурская область;500;808
"18 лет";Архангельская область;813;1009
"18 лет";Астраханская область;1013;1333
"18 лет";Белгородская область;1457;2630
"18 лет";Брянская область;1045;915
"18 лет";Владимирская область;898;1166
"18 лет";Волгоградская область;2387;3077
"18 лет";Вологодская область;660;868
"18 лет";Воронежская область;3995;5425
"18 лет";г. Москва;47649;48960
"18 лет";г.Санкт-Петербург;20127;23743
"18 лет";г.Севастополь;865;945
"18 лет";Еврейская автономная область;29;69
"18 лет";Забайкальский край;658;820
"18 лет";Ивановская область;1387;1333
"18 лет";Иркутская область;3065;3198
"18 лет";Кабардино-Балкарская Республика;633;837
"18 лет";Калининградская область;1165;1458
"18 лет";Калужская область;1176;1287
"18 лет";Камчатский край;180;171
"18 лет";Карачаево-Черкесская Республика;1140;466
"18 лет";Кемеровская область;1565;2082
"18 лет";Кировская область;1080;1440
"18 лет";Костромская область;535;587
"18 лет";Краснодарский край;4735;7174
"18 лет";Красноярский край;3521;3957
"18 лет";Курганская область;348;453
"18 лет";Курская область;1207;1301
"18 лет";Ленинградская область;172;416
"18 лет";Липецкая область;823;980
"18 лет";Магаданская область;60;83
"18 лет";Московская область;3945;4567
"18 лет";Мурманская область;282;221
"18 лет";Нижегородская область;4576;5425
"18 лет";Новгородская область;414;615
"18 лет";Новосибирская область;6053;6568
"18 лет";Омская область;3132;3048
"18 лет";Оренбургская область;1363;2031
"18 лет";Орловская область;730;1233
"18 лет";Пензенская область;1698;1629
"18 лет";Пермский край;2936;3502
"18 лет";Приморский край;2095;2493
"18 лет";Псковская область;468;553
"18 лет";Республика Адыгея;323;495
"18 лет";Республика Алтай;64;109
"18 лет";Республика Башкортостан;4138;4832
"18 лет";Республика Бурятия;601;605
"18 лет";Республика Дагестан;2311;2583
"18 лет";Республика Ингушетия;234;113
"18 лет";Республика Калмыкия;202;209
"18 лет";Республика Карелия;543;691
"18 лет";Республика Коми;463;503
"18 лет";Республика Крым;1202;1940
"18 лет";Республика Марий Эл;779;839
"18 лет";Республика Мордовия;960;1322
"18 лет";Республика Саха (Якутия);694;773
"18 лет";Республика Северная Осетия - Алания;730;844
"18 лет";Республика Татарстан;6885;8683
"18 лет";Республика Тыва;59;115
"18 лет";Республика Хакасия;288;295
"18 лет";Ростовская область;6550;6987
"18 лет";Рязанская область;1601;2415
"18 лет";Самарская область;3657;4118
"18 лет";Саратовская область;3289;4349
"18 лет";Сахалинская область;118;170
"18 лет";Свердловская область;6723;7560
"18 лет";Смоленская область;991;1299
"18 лет";Ставропольский край;2924;3734
"18 лет";Тамбовская область;774;1036
"18 лет";Тверская область;1170;1359
"18 лет";Томская область;3297;3247
"18 лет";Тульская область;1241;1566
"18 лет";Тюменская область;2681;3310
"18 лет";Удмуртская Республика;1661;2154
"18 лет";Ульяновская область;1618;1588
"18 лет";Хабаровский край;1948;2214
"18 лет";Ханты-Мансийский автономный округ;757;1077
"18 лет";Челябинская область;3457;4032
"18 лет";Чеченская Республика;1832;2214
"18 лет";Чувашская Республика;1428;1441
"18 лет";Чукотский автономный округ;4;1
"18 лет";Ямало-Ненецкий автономный округ;0;0
"18 лет";Ярославская область;1565;2185
"19 лет";Алтайский край;2689;3580
"19 лет";Амурская область;665;897
"19 лет";Архангельская область;848;1190
"19 лет";Астраханская область;1346;1721
"19 лет";Белгородская область;2102;2709
"19 лет";Брянская область;1260;1379
"19 лет";Владимирская область;1023;1508
"19 лет";Волгоградская область;2624;3731
"19 лет";Вологодская область;800;1171
"19 лет";Воронежская область;4008;5952
"19 лет";г. Москва;48252;55662
"19 лет";г.Санкт-Петербург;21319;26226
"19 лет";г.Севастополь;1026;1161
"19 лет";Еврейская автономная область;64;48
"19 лет";Забайкальский край;764;1005
"19 лет";Ивановская область;1299;1687
"19 лет";Иркутская область;3125;3934
"19 лет";Кабардино-Балкарская Республика;1067;1205
"19 лет";Калининградская область;1240;1540
"19 лет";Калужская область;1097;1505
"19 лет";Камчатский край;189;177
"19 лет";Карачаево-Черкесская Республика;1041;684
"19 лет";Кемеровская область;1866;2583
"19 лет";Кировская область;1142;1904
"19 лет";Костромская область;471;618
"19 лет";Краснодарский край;5818;8072
"19 лет";Красноярский край;3830;4361
"19 лет";Курганская область;521;746
"19 лет";Курская область;1423;2334
"19 лет";Ленинградская область;232;514
"19 лет";Липецкая область;851;1261
"19 лет";Магаданская область;59;80
"19 лет";Московская область;4157;5489
"19 лет";Мурманская область;324;295
"19 лет";Нижегородская область;4935;6957
"19 лет";Новгородская область;555;775
"19 лет";Новосибирская область;6089;7565
"19 лет";Омская область;3270;3644
"19 лет";Оренбургская область;1736;2659
"19 лет";Орловская область;963;1436
"19 лет";Пензенская область;1897;2078
"19 лет";Пермский край;2897;3967
"19 лет";Приморский край;2583;3071
"19 лет";Псковская область;522;686
"19 лет";Республика Адыгея;472;624
"19 лет";Республика Алтай;88;146
"19 лет";Республика Башкортостан;5137;6016
"19 лет";Республика Бурятия;798;958
"19 лет";Республика Дагестан;3148;3720
"19 лет";Республика Ингушетия;320;397
"19 лет";Республика Калмыкия;228;285
"19 лет";Республика Карелия;642;830
"19 лет";Республика Коми;565;562
"19 лет";Республика Крым;2018;2635
"19 лет";Республика Марий Эл;695;945
"19 лет";Республика Мордовия;1063;1691
"19 лет";Республика Саха (Якутия);933;927
"19 лет";Республика Северная Осетия - Алания;1024;1284
"19 лет";Республика Татарстан;7822;10102
"19 лет";Республика Тыва;113;244
"19 лет";Республика Хакасия;297;339
"19 лет";Ростовская область;8276;7940
"19 лет";Рязанская область;1585;2402
"19 лет";Самарская область;5369;6367
"19 лет";Саратовская область;3375;4560
"19 лет";Сахалинская область;169;203
"19 лет";Свердловская область;7175;8602
"19 лет";Смоленская область;1097;1589
"19 лет";Ставропольский край;3378;4458
"19 лет";Тамбовская область;1067;1383
"19 лет";Тверская область;1243;1678
"19 лет";Томская область;3350;3386
"19 лет";Тульская область;1481;1971
"19 лет";Тюменская область;2796;3703
"19 лет";Удмуртская Республика;1886;2567
"19 лет";Ульяновская область;1791;1944
"19 лет";Хабаровский край;2176;2450
"19 лет";Ханты-Мансийский автономный округ;1018;1404
"19 лет";Челябинская область;3743;4953
"19 лет";Чеченская Республика;1857;2930
"19 лет";Чувашская Республика;1320;2000
"19 лет";Чукотский автономный округ;3;0
"19 лет";Ямало-Ненецкий автономный округ;1;0
"19 лет";Ярославская область;1317;2007
"20 лет";Алтайский край;2833;4191
"20 лет";Амурская область;813;1206
"20 лет";Архангельская область;959;1237
"20 лет";Астраханская область;1616;2051
"20 лет";Белгородская область;2885;3359
"20 лет";Брянская область;1442;1520
"20 лет";Владимирская область;1436;1864
"20 лет";Волгоградская область;3463;4311
"20 лет";Вологодская область;933;1303
"20 лет";Воронежская область;5502;6939
"20 лет";г. Москва;50559;59819
"20 лет";г.Санкт-Петербург;21895;27562
"20 лет";г.Севастополь;1046;1153
"20 лет";Еврейская автономная область;59;142
"20 лет";Забайкальский край;893;1229
"20 лет";Ивановская область;1575;1899
"20 лет";Иркутская область;3548;4670
"20 лет";Кабардино-Балкарская Республика;1160;1200
"20 лет";Калининградская область;1347;1615
"20 лет";Калужская область;1146;1595
"20 лет";Камчатский край;186;232
"20 лет";Карачаево-Черкесская Республика;601;708
"20 лет";Кемеровская область;2495;3030
"20 лет";Кировская область;1493;2001
"20 лет";Костромская область;530;795
"20 лет";Краснодарский край;5549;8936
"20 лет";Красноярский край;4464;4679
"20 лет";Курганская область;596;879
"20 лет";Курская область;1796;2898
"20 лет";Ленинградская область;160;317
"20 лет";Липецкая область;1051;1520
"20 лет";Магаданская область;126;134
"20 лет";Московская область;4771;6276
"20 лет";Мурманская область;352;391
